mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778267520.3278992,1383775,-4.28,3.52,6.83,-8.01,1.17,-1.94
1778267520.386196,1383797,-4.27,3.51,6.76,-5.90,4.27,-3.41
1778267520.3880177,1383819,-4.20,3.53,6.72,-5.15,6.24,-4.05
1778267520.3887825,1383841,-4.31,4.01,6.39,-6.31,6.61,-7.59
1778267520.4462316,1383863,-4.54,3.72,6.62,-10.36,3.21,-13.99
1778267520.447602,1383885,-4.68,3.59,6.77,-9.83,0.90,-18.15
1778267520.4485092,1383907,-4.45,3.54,6.59,-10.43,1.76,-21.54
1778267520.5061526,1383929,-4.62,3.16,6.69,-10.26,4.76,-22.30
1778267520.507519,1383951,-4.19,2.78,6.69,-9.06,10.22,-21.48
1778267520.5659575,1383973,-4.77,3.12,6.78,-4.32,16.02,-19.30
1778267520.5678763,1383995,-4.71,3.17,7.11,-2.18,21.83,-17.44
1778267520.5688837,1384017,-4.69,3.14,6.91,-2.33,29.48,-19.65
1778267520.6261296,1384039,-4.55,3.13,6.70,-3.55,40.85,-22.14
1778267520.687129,1384061,-4.50,2.87,6.77,-3.66,52.12,-24.76
1778267520.6885486,1384083,-4.69,2.98,6.75,-0.82,67.66,-27.73
1778267520.6895688,1384105,-4.76,2.83,6.61,-1.98,89.46,-36.23
1778267520.6905618,1384127,-4.60,2.26,6.66,-1.09,118.45,-39.98
1778267520.6912518,1384149,-4.85,3.62,6.21,-2.44,159.98,-55.73
1778267520.7461517,1384171,-4.85,4.88,5.17,-23.08,215.38,-98.53
1778267520.7473116,1384193,-4.34,4.35,5.94,-56.68,250.13,-158.68
1778267520.8062859,1384215,-8.66,7.90,5.25,-141.04,250.13,-250.14
1778267520.8078232,1384237,-17.62,3.57,10.49,-186.30,250.13,-250.14
1778267520.8089442,1384259,-19.62,4.46,10.25,-176.21,250.13,-250.14
1778267520.8662608,1384281,-19.62,8.76,14.94,-151.96,239.55,-250.14
1778267520.8677473,1384303,-15.90,16.84,19.62,-116.33,147.46,-236.77
1778267520.868901,1384325,-2.32,10.59,-19.62,-44.20,76.66,-139.30
1778267520.9262154,1384347,-1.44,10.28,15.21,87.24,-83.90,22.52
1778267520.9274926,1384369,-0.31,8.22,2.82,85.24,-124.83,88.32
1778267520.9864318,1384391,0.30,5.05,2.61,68.93,-150.52,90.63
1778267520.9885855,1384413,-0.71,3.15,3.40,81.65,-164.15,101.29
1778267520.9898798,1384435,-1.34,3.44,3.54,121.90,-168.86,128.56
1778267521.046147,1384457,-3.63,4.49,4.70,146.01,-174.66,160.95
1778267521.1061518,1384479,-6.05,4.70,6.02,142.38,-197.17,191.26
1778267521.1077158,1384501,-7.41,3.63,6.19,152.02,-208.41,212.21
1778267521.1088495,1384523,-8.97,3.33,7.21,175.66,-209.87,219.50
1778267521.1095219,1384545,-11.03,4.33,8.39,205.73,-198.54,233.47
1778267521.1102195,1384567,-14.23,6.54,9.54,212.24,-188.60,250.13
1778267521.1671634,1384589,-17.84,7.10,10.22,195.47,-159.77,250.13
1778267521.1686676,1384611,-19.62,2.76,11.17,210.74,-105.82,250.13
1778267521.2266371,1384633,-19.62,-1.60,11.65,225.92,-78.08,250.13
1778267521.2857141,1384655,-19.62,-13.04,6.39,247.64,-67.70,250.13
1778267521.2875476,1384677,-19.62,-19.62,-5.07,250.13,7.50,232.87
1778267521.2885797,1384699,-19.62,-19.62,-5.45,248.84,172.92,184.69
1778267521.289925,1384721,-0.97,-14.13,-19.62,-250.14,250.13,-177.70
1778267521.2910256,1384743,-2.75,7.20,3.22,-250.14,7.79,-250.14
1778267521.3462892,1384765,-19.62,7.36,19.62,-250.14,-78.79,-223.90
1778267521.3477669,1384787,-11.81,8.00,5.46,-215.27,-69.15,-118.79
1778267521.348482,1384809,-5.75,-1.92,17.90,-134.02,-38.58,-49.62
1778267521.4069169,1384831,-5.50,7.00,4.50,-98.23,-32.11,-27.63
1778267521.408679,1384853,-5.55,3.40,7.11,-64.97,-26.95,-27.42
1778267521.466437,1384875,-4.48,2.17,8.71,-32.67,-14.61,-14.21
1778267521.467776,1384897,-4.47,3.53,6.85,-11.68,-2.67,-4.67
1778267521.4691446,1384919,-4.41,3.68,6.70,-7.60,1.27,-3.77
1778267521.5257952,1384941,-4.28,3.69,6.69,-8.15,2.01,-6.16
1778267521.5273738,1384963,-4.28,3.67,6.99,-7.39,3.98,-7.05
1778267521.52845,1384985,-4.39,3.78,6.40,-9.13,4.40,-8.85
1778267521.5874004,1385007,-4.67,3.49,6.70,-9.30,3.38,-11.66
1778267521.5886858,1385029,-4.49,3.52,6.74,-8.68,3.63,-12.37
1778267521.6474755,1385051,-4.56,3.38,6.70,-8.19,6.38,-13.73
1778267521.648574,1385073,-4.55,3.42,6.68,-7.31,9.88,-15.20
1778267521.6492035,1385095,-5.10,3.48,7.16,-5.44,13.56,-17.79
1778267521.7068567,1385117,-4.80,3.11,6.88,-2.48,17.47,-16.86
1778267521.708839,1385139,-4.60,3.34,6.69,-3.02,19.09,-17.89
1778267521.7101178,1385161,-4.72,3.33,6.43,-2.29,26.83,-20.89
1778267521.7656138,1385183,-4.34,3.13,6.69,-2.35,38.16,-26.60
1778267521.7672305,1385205,-4.55,2.91,6.87,-1.13,52.24,-26.56
1778267521.7679753,1385227,-4.57,3.44,6.83,-2.11,72.37,-34.02
1778267521.8257158,1385249,-4.49,2.69,6.33,-2.42,96.90,-41.02
1778267521.826928,1385271,-4.72,2.60,6.44,0.42,129.14,-47.14
1778267521.888257,1385293,-5.09,3.97,5.75,-9.29,169.24,-65.27
1778267521.8895907,1385315,-5.81,4.33,6.01,-26.60,220.10,-103.72
1778267521.8907828,1385337,-4.74,4.15,6.49,-55.30,250.13,-155.37
1778267521.946075,1385359,-7.76,7.28,3.61,-139.89,250.13,-250.14
1778267521.9476967,1385381,-18.28,4.03,10.90,-180.77,250.13,-250.14
1778267521.948288,1385403,-19.62,3.15,10.66,-155.85,250.13,-250.14
1778267522.0062308,1385425,-19.62,8.12,13.34,-130.07,250.13,-250.14
1778267522.0075924,1385447,-18.33,16.72,19.62,-105.26,172.97,-250.14
1778267522.0084677,1385469,15.75,6.87,5.72,-9.19,2.60,-209.73
1778267522.0664506,1385491,-5.51,10.08,19.62,74.61,-83.95,3.53
1778267522.1263297,1385513,-4.25,9.81,6.33,118.87,-156.89,109.12
1778267522.12775,1385535,-1.62,5.83,3.84,109.51,-202.86,134.97
1778267522.1287446,1385557,-0.98,3.18,2.07,108.02,-215.94,137.68
1778267522.1294386,1385579,-1.49,2.31,2.40,126.93,-208.15,141.63
1778267522.1861255,1385601,-4.16,3.57,4.39,162.46,-199.66,171.02
1778267522.1876335,1385623,-6.49,5.06,4.89,165.64,-206.98,204.50
1778267522.1886032,1385645,-8.25,4.52,6.18,150.27,-217.74,221.19
1778267522.2461615,1385667,-10.25,3.22,7.01,168.26,-221.15,233.31
1778267522.2477696,1385689,-11.05,3.27,8.27,209.83,-199.96,245.98
1778267522.306172,1385711,-14.15,5.57,10.57,222.19,-173.56,250.13
1778267522.3080885,1385733,-19.39,3.56,11.32,218.08,-135.31,250.13
1778267522.3093727,1385755,-19.62,1.52,13.04,195.08,-109.73,250.13
1778267522.3670533,1385777,-19.62,-6.24,11.25,194.77,-115.24,250.13
1778267522.3684077,1385799,-19.62,-18.92,1.01,223.40,-93.66,243.29
1778267522.3692544,1385821,-14.13,-19.62,0.01,250.13,77.08,185.25
1778267522.426354,1385843,-19.62,-17.87,-5.20,137.43,170.34,90.27
1778267522.4277394,1385865,1.54,-8.27,4.85,-119.18,250.13,-250.14
1778267522.4286993,1385887,-7.59,-3.95,6.42,-250.14,-117.09,-250.14
1778267522.4859533,1385909,-10.97,-0.21,17.70,-250.14,-9.46,-217.71
1778267522.5469072,1385931,-5.14,2.22,11.34,-228.67,-58.61,-109.19
