mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778268769.6980686,255256,-4.54,3.71,6.53,-2.79,0.63,0.95
1778268769.7552552,255278,-4.68,3.70,6.44,-2.63,0.73,0.69
1778268769.756599,255300,-4.60,3.71,6.52,-2.59,0.77,0.89
1778268769.757375,255322,-4.57,3.71,6.45,-1.85,0.72,0.99
1778268769.8756473,255344,-4.60,3.69,6.46,-1.93,0.79,0.97
1778268769.8771958,255366,-4.62,3.68,6.56,-1.66,0.59,0.99
1778268769.8779678,255388,-4.55,3.69,6.49,-1.69,0.74,1.06
1778268769.878747,255410,-4.64,3.72,6.50,-1.63,0.73,0.90
1778268769.8794138,255432,-4.59,3.72,6.48,-2.25,0.60,0.70
1778268769.9363325,255454,-4.61,3.76,6.46,-2.50,0.69,0.70
1778268769.9381254,255476,-4.60,3.67,6.51,-2.26,0.65,0.91
1778268769.9391558,255498,-4.62,3.72,6.39,-2.78,0.87,0.68
1778268769.9956038,255520,-4.63,3.72,6.51,-2.85,0.66,0.77
1778268770.0556653,255542,-4.56,3.74,6.44,-2.06,0.73,0.93
1778268770.0572157,255564,-4.54,3.69,6.39,-1.79,0.78,0.98
1778268770.0589936,255586,-4.54,3.71,6.37,-2.05,0.52,0.85
1778268770.0597723,255608,-4.61,3.73,6.50,-2.57,0.60,0.60
1778268770.11552,255630,-4.58,3.72,6.43,-2.78,0.70,0.77
1778268770.1165507,255652,-4.56,3.75,6.42,-2.74,0.74,0.69
1778268770.1174603,255674,-4.58,3.75,6.44,-2.67,0.68,0.89
1778268770.1746786,255696,-4.62,3.77,6.46,-2.62,0.66,0.73
1778268770.1756651,255718,-4.56,3.70,6.47,-1.89,0.76,0.92
1778268770.176424,255740,-4.59,3.74,6.51,-1.80,0.76,0.95
1778268770.2352996,255762,-4.58,3.73,6.40,-1.98,0.56,0.70
1778268770.2366567,255784,-4.54,3.73,6.45,-2.41,0.79,0.60
1778268770.295387,255806,-4.61,3.68,6.48,-2.81,0.73,0.64
1778268770.2967465,255828,-4.63,3.73,6.44,-2.90,0.65,0.72
1778268770.2976894,255850,-4.55,3.73,6.43,-2.82,0.64,0.69
1778268770.357299,255872,-4.59,3.72,6.43,-2.50,0.73,0.88
1778268770.3586547,255894,-4.60,3.74,6.52,-1.95,0.72,0.94
1778268770.3594828,255916,-4.53,3.69,6.49,-1.84,0.63,0.94
1778268770.415167,255938,-4.63,3.73,6.55,-1.96,0.68,0.71
1778268770.416878,255960,-4.59,3.76,6.49,-2.30,0.62,0.90
1778268770.4178388,255982,-4.63,3.70,6.47,-2.23,0.58,0.66
1778268770.4757097,256004,-4.62,3.69,6.46,-2.18,0.69,0.70
1778268770.5356665,256026,-4.60,3.73,6.51,-2.49,1.02,0.75
1778268770.5374737,256048,-4.64,3.70,6.49,-2.68,0.76,0.70
1778268770.5383785,256070,-4.57,3.70,6.47,-2.60,0.66,0.73
1778268770.5393307,256092,-4.62,3.77,6.46,-2.38,0.75,0.79
1778268770.595846,256114,-4.57,3.73,6.54,-2.43,0.59,1.09
1778268770.5973651,256136,-4.59,3.71,6.45,-2.33,0.68,0.96
1778268770.5981655,256158,-4.59,3.71,6.44,-2.04,0.62,0.92
1778268770.6556141,256180,-4.58,3.69,6.46,-1.87,0.83,0.99
1778268770.6571922,256202,-4.58,3.73,6.44,-1.82,0.67,0.87
1778268770.6578887,256224,-4.58,3.73,6.45,-1.82,0.71,0.75
1778268770.7153091,256246,-4.63,3.67,6.47,-2.37,0.75,0.75
1778268770.716733,256268,-4.58,3.66,6.40,-2.83,0.57,0.70
1778268770.7751105,256290,-4.61,3.69,6.50,-2.44,0.65,0.76
1778268770.775914,256312,-4.53,3.70,6.46,-2.35,0.72,0.89
1778268770.7765348,256334,-4.54,3.71,6.55,-2.74,0.76,0.99
1778268770.8366597,256356,-4.55,3.72,6.37,-2.73,0.76,0.73
1778268770.839229,256378,-4.54,3.71,6.44,-1.98,0.62,1.05
1778268770.8425167,256400,-4.55,3.69,6.46,-1.98,0.72,0.92
1778268770.895304,256422,-4.61,3.67,6.44,-1.91,0.77,0.98
1778268770.896586,256444,-4.59,3.75,6.47,-1.76,0.56,0.84
1778268770.9556725,256466,-4.56,3.69,6.47,-2.08,0.66,0.77
1778268771.0160046,256488,-4.55,3.69,6.48,-2.16,0.66,0.89
1778268771.0172527,256510,-4.57,3.80,6.52,-2.49,0.69,0.87
1778268771.018491,256532,-4.58,3.64,6.57,-2.22,0.59,0.76
1778268771.019366,256554,-4.55,3.65,6.46,-2.46,0.62,0.85
1778268771.0201178,256576,-4.58,3.70,6.50,-2.93,0.73,0.67
1778268771.0760841,256598,-4.55,3.73,6.49,-2.76,0.65,0.73
1778268771.077621,256620,-4.55,3.77,6.45,-2.63,0.78,0.75
1778268771.078763,256642,-4.55,3.74,6.45,-1.97,0.55,1.04
1778268771.135916,256664,-4.58,3.76,6.57,-1.95,0.67,0.82
1778268771.1373816,256686,-4.62,3.69,6.50,-2.34,0.76,0.73
1778268771.1959987,256708,-4.58,3.68,6.50,-2.34,0.71,0.82
1778268771.1976964,256730,-4.55,3.75,6.48,-2.67,0.70,0.71
1778268771.1985664,256752,-4.55,3.72,6.44,-2.16,0.75,1.06
1778268771.2547367,256774,-4.59,3.68,6.40,-2.05,0.67,0.98
1778268771.2561674,256796,-4.61,3.71,6.53,-1.59,0.77,0.91
1778268771.2573934,256818,-4.60,3.68,6.43,-2.02,0.77,0.94
1778268771.3155684,256840,-4.62,3.70,6.54,-2.18,0.60,0.75
1778268771.3174744,256862,-4.61,3.71,6.44,-2.68,0.63,0.67
1778268771.3183966,256884,-4.61,3.76,6.47,-2.66,0.76,0.73
1778268771.3766758,256906,-4.56,3.75,6.48,-2.85,0.73,0.88
1778268771.3802853,256928,-4.60,3.67,6.45,-2.93,0.82,0.71
1778268771.435579,256950,-4.65,3.70,6.46,-2.67,0.60,0.86
1778268771.4369588,256972,-4.63,3.67,6.54,-2.08,0.72,0.85
1778268771.4376183,256994,-4.60,3.72,6.51,-1.95,0.61,0.98
1778268771.4956198,257016,-4.53,3.66,6.50,-1.85,0.69,1.02
1778268771.497013,257038,-4.64,3.69,6.49,-2.08,0.67,0.96
1778268771.4980323,257060,-4.61,3.69,6.45,-2.75,0.66,0.69
1778268771.5557117,257082,-4.60,3.66,6.52,-2.79,0.73,0.79
1778268771.5574346,257104,-4.61,3.71,6.49,-2.76,0.76,0.88
1778268771.615617,257126,-4.56,3.67,6.58,-2.56,0.57,0.67
1778268771.6178465,257148,-4.56,3.76,6.41,-2.45,0.60,0.79
1778268771.618995,257170,-4.58,3.70,6.44,-1.89,0.73,1.03
1778268771.6758244,257192,-4.57,3.70,6.46,-1.76,0.66,0.88
1778268771.6776369,257214,-4.52,3.75,6.47,-1.61,0.55,0.89
1778268771.6785915,257236,-4.60,3.73,6.50,-2.01,0.61,0.70
1778268771.7350962,257258,-4.57,3.70,6.50,-2.68,0.63,0.76
1778268771.7366405,257280,-4.65,3.69,6.45,-2.67,0.57,0.89
1778268771.7376058,257302,-4.62,3.70,6.53,-2.11,0.66,0.85
1778268771.7959967,257324,-4.57,3.67,6.49,-2.79,0.65,0.74
1778268771.8589563,257346,-4.60,3.73,6.44,-2.92,0.69,0.77
1778268771.8605332,257368,-4.64,3.65,6.40,-2.76,0.74,0.73
1778268771.8617275,257390,-4.58,3.71,6.55,-2.00,0.73,0.82
1778268771.8625212,257412,-4.64,3.71,6.40,-2.04,0.76,1.02
1778268771.924371,257434,-4.60,3.67,6.51,-1.60,0.79,1.00
1778268771.9264567,257456,-4.55,3.72,6.51,-1.79,0.82,0.89
1778268771.927393,257478,-4.66,3.72,6.53,-1.58,0.72,0.95
1778268771.9756293,257500,-4.51,3.68,6.40,-1.61,0.62,1.01
1778268771.9768906,257522,-4.58,3.74,6.42,-2.46,0.78,0.85
1778268771.9779568,257544,-4.59,3.71,6.53,-2.77,0.71,0.88
1778268772.035396,257566,-4.64,3.69,6.53,-2.98,0.61,0.82
1778268772.0368047,257588,-4.57,3.75,6.53,-2.83,0.73,0.67
1778268772.0958617,257610,-4.61,3.71,6.45,-1.89,0.75,0.89
1778268772.097719,257632,-4.62,3.73,6.39,-1.95,0.64,0.87
1778268772.0986338,257654,-4.61,3.68,6.44,-2.11,0.70,0.91
1778268772.1556942,257676,-4.63,3.69,6.51,-2.59,0.82,0.83
1778268772.1571126,257698,-4.62,3.73,6.47,-2.53,0.60,0.66
1778268772.1580572,257720,-4.56,3.69,6.46,-2.37,0.70,0.65
1778268772.2166142,257742,-4.62,3.64,6.41,-2.54,0.67,0.75
1778268772.2187154,257764,-4.60,3.69,6.48,-2.95,0.73,0.87
1778268772.2790322,257786,-4.60,3.67,6.49,-2.19,0.75,0.95
1778268772.336191,257808,-4.59,3.69,6.43,-1.73,0.68,1.11
1778268772.3373358,257830,-4.65,3.77,6.42,-1.70,0.68,0.92
1778268772.3379269,257852,-4.64,3.72,6.50,-1.63,0.70,0.97
1778268772.3385832,257874,-4.64,3.72,6.52,-1.79,0.67,0.92
1778268772.3392828,257896,-4.60,3.69,6.42,-2.18,0.71,0.85
1778268772.3961034,257918,-4.56,3.75,6.49,-1.95,0.63,0.88
1778268772.3979752,257940,-4.63,3.69,6.52,-2.07,0.69,0.86
1778268772.3996003,257962,-4.62,3.71,6.41,-2.24,0.65,0.78
1778268772.454999,257984,-4.57,3.73,6.46,-2.05,0.82,0.70
1778268772.4558203,258006,-4.61,3.73,6.46,-2.55,0.75,0.84
1778268772.5151057,258028,-4.60,3.72,6.46,-2.58,0.63,0.82
1778268772.5160635,258050,-4.58,3.71,6.45,-2.69,0.60,0.69
1778268772.5168824,258072,-4.55,3.65,6.51,-2.83,0.60,0.79
1778268772.5760508,258094,-4.59,3.70,6.55,-2.46,0.73,0.92
1778268772.5772543,258116,-4.59,3.70,6.44,-2.14,0.87,0.95
1778268772.5783117,258138,-4.56,3.65,6.45,-1.89,0.90,1.05
1778268772.6354377,258160,-4.62,3.65,6.49,-2.22,0.67,0.95
1778268772.636729,258182,-4.62,3.71,6.49,-1.74,0.66,0.92
1778268772.6964004,258204,-4.63,3.73,6.48,-1.92,0.65,0.88
1778268772.7556994,258226,-4.61,3.74,6.45,-1.92,0.67,0.82
1778268772.756865,258248,-4.56,3.69,6.39,-1.84,0.59,0.97
1778268772.7576594,258270,-4.61,3.69,6.43,-1.83,0.76,0.92
1778268772.7582483,258292,-4.58,3.75,6.44,-1.66,0.52,0.77
1778268772.7587063,258314,-4.61,3.65,6.47,-1.95,0.51,1.00
1778268772.817618,258336,-4.58,3.77,6.48,-2.67,0.63,0.80
1778268772.8202353,258358,-4.54,3.70,6.48,-2.57,0.62,0.70
1778268772.8209467,258380,-4.55,3.69,6.42,-2.47,0.60,0.86
1778268772.8803213,258402,-4.62,3.72,6.55,-2.58,0.81,0.88
1778268772.8818798,258424,-4.63,3.65,6.41,-2.13,0.64,0.93
1778268772.9377098,258446,-4.56,3.72,6.49,-1.71,0.66,0.82
1778268772.9966366,258468,-4.61,3.74,6.47,-2.44,0.80,0.87
1778268772.9980533,258490,-4.57,3.70,6.42,-2.93,0.67,0.74
1778268772.9986944,258512,-4.56,3.75,6.51,-2.91,0.63,0.83
1778268772.9996498,258534,-4.60,3.71,6.50,-2.83,0.80,0.87
1778268773.0002832,258556,-4.62,3.72,6.47,-2.70,0.62,0.93
1778268773.0557237,258578,-4.60,3.75,6.37,-2.90,0.75,0.76
1778268773.0571973,258600,-4.57,3.72,6.47,-2.85,0.56,0.83
1778268773.0583718,258622,-4.55,3.71,6.42,-2.96,0.60,0.65
1778268773.117176,258644,-4.61,3.79,6.50,-2.78,0.68,0.82
1778268773.1190808,258666,-4.62,3.75,6.48,-2.40,0.51,0.90
1778268773.1758173,258688,-4.62,3.72,6.52,-2.07,0.61,0.88
1778268773.1777523,258710,-4.59,3.69,6.44,-1.95,0.79,1.08
1778268773.1786227,258732,-4.64,3.74,6.46,-1.84,0.60,0.89
1778268773.2358487,258754,-4.56,3.65,6.52,-2.33,0.61,0.79
1778268773.2375693,258776,-4.51,3.69,6.42,-2.75,0.54,0.76
1778268773.2385836,258798,-4.60,3.76,6.45,-2.76,0.81,0.72
1778268773.295925,258820,-4.62,3.67,6.52,-2.91,0.59,0.57
