mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778213946.6677692,238296,-8.12,11.89,8.63,190.11,-174.92,237.82
1778213946.9070182,238498,6.12,19.62,-19.62,-250.14,119.96,-85.24
1778213947.0877209,238700,-2.20,7.87,5.58,31.01,5.72,-8.55
1778213947.2668757,238902,-2.06,7.07,5.04,-24.91,-1.24,-12.49
1778213947.5065877,239104,-1.88,6.92,2.13,60.74,76.75,-77.47
1778213947.7468886,239306,-5.50,13.75,11.43,17.92,77.15,-244.53
1778213947.8670974,239508,-6.63,9.50,2.52,110.50,-148.22,250.13
1778213948.1059618,239710,-18.88,-12.31,2.62,-99.30,143.40,-50.44
1778213948.3468418,239912,-2.22,7.46,2.62,-30.24,-14.39,-19.10
1778213948.5266469,240114,-1.99,7.44,4.86,-17.02,-2.72,-8.81
1778213948.7063322,240316,-2.54,7.13,4.64,-13.50,4.66,-11.31
1778213948.8877993,240518,-9.51,19.62,7.65,-169.48,156.34,-250.14
1778213949.1263537,240720,-5.57,12.86,-0.69,-156.21,-63.35,205.58
1778213949.3071845,240922,-15.44,14.45,-3.30,75.25,66.06,250.13
1778213949.4865508,241124,-18.28,19.62,-12.40,-250.14,250.13,-114.64
1778213949.7263741,241326,-1.92,8.16,4.38,38.85,-9.13,-11.03
1778213949.9066236,241528,-1.75,6.84,5.67,-30.00,0.59,-9.32
1778213950.0859444,241730,-1.87,6.83,4.89,8.68,71.06,-51.77
1778213950.3268747,241932,-7.27,19.62,1.58,-250.14,142.15,-27.27
1778213950.5053074,242134,-7.32,8.99,-1.12,40.70,-126.39,250.13
1778213950.746798,242336,-19.62,2.05,11.70,168.69,-8.97,150.05
1778213950.926218,242538,-3.46,5.08,7.51,-105.16,-10.10,-0.33
1778213951.1067567,242740,-2.09,7.07,4.82,-8.45,-1.82,-18.95
1778213951.3475087,242942,-2.06,6.31,5.63,28.94,6.79,-38.72
1778213951.5298736,243144,-19.03,15.52,9.05,-138.98,160.34,-250.14
1778213951.7075012,243346,-1.43,8.39,2.05,95.08,-138.20,185.79
1778213951.9469175,243548,-19.62,2.05,13.40,211.87,-19.26,247.67
1778213952.1286094,243750,-1.67,11.33,3.62,-44.90,-1.16,-11.76
1778213952.305968,243952,-1.74,7.19,5.57,-21.19,-2.77,-18.52
1778213952.551535,244154,-1.87,6.62,5.06,30.40,16.63,-35.27
1778213952.7260537,244356,-19.40,16.18,10.60,-88.48,196.05,-250.14
1778213952.9665637,244558,-0.71,8.95,2.22,91.21,-121.76,186.34
1778213953.206998,244760,-19.62,4.45,12.65,200.61,-47.95,250.13
1778213953.32644,244962,-0.31,11.24,3.71,-10.32,-22.09,-16.53
1778213953.5658364,245164,-1.96,7.09,5.63,-22.90,-0.53,-17.06
1778213953.7470894,245366,-2.19,6.78,5.34,25.44,28.18,-38.98
1778213953.928401,245568,-19.06,14.69,8.75,-103.01,189.88,-250.14
1778213954.1663535,245770,-1.64,9.03,2.21,96.92,-155.13,189.54
1778213954.3457484,245972,-19.62,-2.11,11.58,250.13,-55.56,215.30
1778213954.526677,246174,-1.62,8.26,3.83,20.21,-28.24,-25.70
1778213954.7664263,246376,-1.80,7.54,4.62,-33.55,-1.50,-15.98
1778213954.9474254,246578,-2.04,5.50,3.73,38.50,40.69,-60.87
1778213955.1863365,246780,-10.22,14.03,8.46,-137.85,140.47,-250.14
1778213955.3665547,246982,-2.53,5.45,5.56,110.49,-129.37,226.91
1778213955.5468743,247184,-19.62,-19.62,13.09,250.13,13.44,100.49
