mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778269527.6698194,25245,-3.24,7.26,5.61,25.72,-100.79,53.11
1778269527.671083,25267,-4.47,6.82,5.59,30.66,-85.90,81.88
1778269527.6719704,25289,-5.09,5.82,5.63,30.44,-71.63,102.34
1778269527.7294543,25311,-5.78,4.62,6.00,38.56,-54.47,112.90
1778269527.7306364,25333,-5.93,3.82,5.83,46.97,-36.28,113.47
1778269527.731721,25355,-6.67,2.24,5.85,55.93,-13.85,103.77
1778269527.789036,25377,-8.64,2.42,8.27,52.53,-19.51,84.75
1778269527.790143,25399,-7.65,0.26,7.24,37.56,-27.49,54.69
1778269527.7908669,25421,-7.36,0.58,6.95,40.21,-27.44,29.77
1778269527.8493586,25443,-7.07,0.74,6.11,35.24,-28.18,14.10
1778269527.8505988,25465,-7.23,1.40,5.53,32.21,-19.31,8.73
1778269527.9083505,25487,-7.53,2.88,5.05,21.91,-7.31,14.83
1778269527.9094281,25509,-8.04,3.00,4.67,9.10,7.94,29.73
1778269527.9102218,25531,-7.87,3.37,4.64,-7.89,16.22,47.63
1778269527.9688365,25553,-7.60,2.84,4.23,-14.44,25.96,69.56
1778269527.9699981,25575,-7.58,2.43,4.44,-19.79,36.17,88.66
1778269527.9708693,25597,-7.51,2.35,4.52,-24.48,41.82,105.93
1778269528.0292113,25619,-7.96,1.99,4.98,-35.11,34.64,112.70
1778269528.0302682,25641,-8.79,-3.49,5.48,-65.47,35.76,79.08
1778269528.0309896,25663,-13.31,-13.63,7.35,-103.97,-6.88,-9.40
1778269528.0894334,25685,-19.62,-19.62,7.53,-25.89,-72.21,-88.32
1778269528.090796,25707,-2.86,-2.08,17.73,-1.35,-30.65,57.26
1778269528.1497147,25729,-0.60,-10.46,19.62,50.58,-13.88,-10.32
1778269528.1509104,25751,-4.85,1.74,9.70,0.58,-2.18,3.72
1778269528.1517062,25773,-3.45,-3.51,6.83,-8.46,-3.46,2.37
1778269528.2093153,25795,-4.43,3.61,6.45,-12.88,-3.61,3.47
1778269528.2105377,25817,-4.20,3.45,6.75,-5.56,2.55,4.39
1778269528.2117038,25839,-4.43,3.49,6.75,-3.00,4.36,5.52
1778269528.269644,25861,-4.31,3.55,6.72,-5.02,2.80,3.28
1778269528.2707732,25883,-4.27,3.45,6.90,-4.89,3.92,1.44
1778269528.3294318,25905,-4.15,3.33,6.85,-3.70,5.56,0.78
1778269528.390646,25927,-4.41,3.44,6.68,-2.76,5.25,0.59
1778269528.3927805,25949,-4.39,3.56,6.63,-4.54,3.62,-0.71
1778269528.3942502,25971,-4.39,3.43,6.84,-5.12,3.01,-1.80
1778269528.3949368,25993,-4.40,3.35,6.80,-4.51,2.23,-2.12
1778269528.3957481,26015,-4.33,3.34,6.81,-3.70,2.37,-1.88
1778269528.4493656,26037,-4.44,3.35,6.70,-3.50,2.61,-1.50
1778269528.450849,26059,-4.37,3.31,6.95,-3.30,2.96,-1.73
1778269528.451543,26081,-4.44,3.34,6.78,-3.55,3.26,-2.24
1778269528.5100632,26103,-4.15,3.19,6.68,-3.24,4.38,-1.85
1778269528.5116882,26125,-4.49,3.29,6.76,-2.50,3.81,-1.98
1778269528.5701427,26147,-4.39,3.34,6.83,-1.69,3.40,-2.18
1778269528.5715165,26169,-4.47,3.30,6.77,-1.19,2.60,-2.61
1778269528.5722723,26191,-4.47,3.34,6.71,-1.32,2.42,-3.08
1778269528.6294994,26213,-4.43,3.16,6.76,-0.10,2.74,-2.98
1778269528.6310163,26235,-4.48,3.30,6.75,0.40,3.94,-3.13
1778269528.6324635,26257,-4.41,3.37,6.75,0.40,5.56,-4.03
1778269528.6895552,26279,-4.44,3.33,6.70,0.15,7.33,-4.28
1778269528.6911008,26301,-4.55,3.28,6.70,1.57,9.66,-5.02
1778269528.6930828,26323,-4.58,3.38,6.72,4.07,13.40,-7.53
1778269528.7497773,26345,-4.61,3.42,6.74,7.30,19.95,-12.85
1778269528.7506783,26367,-4.38,3.24,6.92,13.44,32.34,-18.94
1778269528.8110144,26389,-4.22,3.93,6.79,14.21,51.26,-30.11
1778269528.8132465,26411,-4.22,4.91,6.40,1.92,73.87,-47.93
1778269528.814493,26433,-5.10,5.59,7.32,-30.84,92.48,-70.82
1778269528.870058,26455,-6.07,4.31,7.15,-71.16,101.27,-95.23
1778269528.8710592,26477,-6.34,2.89,7.02,-74.38,100.73,-119.79
1778269528.8717768,26499,-6.55,1.65,5.30,-45.46,105.34,-137.08
1778269528.931062,26521,-7.42,3.12,6.12,-4.24,101.55,-149.89
1778269528.9330435,26543,-5.29,10.21,11.92,12.18,29.21,-114.38
1778269528.9895787,26565,0.18,10.77,10.21,26.95,-50.36,-77.79
1778269528.9914758,26587,0.42,10.20,8.13,34.34,-82.09,-46.33
1778269528.9925644,26609,-1.79,9.62,6.96,30.00,-95.15,-5.77
1778269529.0491745,26631,-2.16,7.98,5.41,28.10,-83.52,31.35
1778269529.050848,26653,-3.53,6.81,6.03,31.73,-63.03,65.66
1778269529.0518034,26675,-5.08,5.65,6.28,26.55,-50.77,90.95
1778269529.1093824,26697,-4.84,4.30,7.17,20.04,-39.56,102.73
1778269529.1107147,26719,-5.70,4.26,7.49,17.23,-32.51,104.21
1778269529.1115808,26741,-5.59,3.61,7.50,11.18,-33.98,95.40
